Experiment GCC Main Experiment - National Priorities -
Main experiment version 2 - with state priorities - 30 realizations per configuration .
Experiment started 2014-05-04 154654

######################################################
Experiment Defaults:
                          setNumOfIssues :,  	75
                 setNumOfRepresentatives :,  	100
                setSatisfactionThreshold :,  	0.675
Experiment Parameter Variations:
                 setUnaffiliatedFraction :,  	[0.05, 0.5]
                        setGreenFraction :,  	[0.5, 0.75, 1.0]
                      setStatePriorities :,  	[0, 5]
                       setIdeologyIssues :,  	[0, 5]
######################################################
*********************Job Settings*********************
                 setUnaffiliatedFraction :	,0.05
                        setGreenFraction :	,0.5
                      setStatePriorities :	,0
                       setIdeologyIssues :	,0
 timestamp, job ID, setUnaffiliatedFraction, setGreenFraction, setStatePriorities, setIdeologyIssues, proposals, laws count, provisions, satisfaction, total change, total votes
 timestamp, job ID, setUnaffiliatedFraction, setGreenFraction, setStatePriorities, setIdeologyIssues, proposals, laws count, provisions, satisfaction, total change, total votes
 2014-05-04 162614, 6,                 0.05,                 0.75,                    0,                    5,200.00,5.00,28.00,0.6896,0.0000,328.0000
 2014-05-04 162629, 6,                 0.05,                 0.75,                    0,                    5,200.00,5.00,27.00,0.6772,0.0125,307.0000
 2014-05-04 162645, 6,                 0.05,                 0.75,                    0,                    5,200.00,6.00,39.00,0.6425,0.1250,370.0000
 2014-05-04 162700, 6,                 0.05,                 0.75,                    0,                    5,200.00,6.00,22.00,0.6657,0.0000,402.0000
 2014-05-04 162716, 6,                 0.05,                 0.75,                    0,                    5,200.00,4.00,34.00,0.6655,0.0625,233.0000
 2014-05-04 162731, 6,                 0.05,                 0.75,                    0,                    5,200.00,5.00,19.00,0.6779,0.0000,347.0000
 2014-05-04 162747, 6,                 0.05,                 0.75,                    0,                    5,200.00,5.00,19.00,0.6970,0.0000,332.0000
 2014-05-04 162803, 6,                 0.05,                 0.75,                    0,                    5,200.00,4.00,33.00,0.6280,0.0000,231.0000
 2014-05-04 162818, 6,                 0.05,                 0.75,                    0,                    5,200.00,5.00,28.00,0.6393,0.0250,302.0000
 2014-05-04 162834, 6,                 0.05,                 0.75,                    0,                    5,200.00,3.00,22.00,0.6836,0.0208,204.0000
 2014-05-04 162850, 6,                 0.05,                 0.75,                    0,                    5,200.00,4.00,34.00,0.6594,0.0625,256.0000
 2014-05-04 162906, 6,                 0.05,                 0.75,                    0,                    5,200.00,6.00,30.00,0.6796,0.0104,367.0000
 2014-05-04 162921, 6,                 0.05,                 0.75,                    0,                    5,200.00,4.00,38.00,0.6871,0.0000,259.0000
 2014-05-04 162937, 6,                 0.05,                 0.75,                    0,                    5,200.00,5.00,27.00,0.6394,0.0000,306.0000
 2014-05-04 162953, 6,                 0.05,                 0.75,                    0,                    5,200.00,5.00,16.00,0.7468,0.0000,370.0000
 2014-05-04 163008, 6,                 0.05,                 0.75,                    0,                    5,200.00,5.00,28.00,0.6677,0.1000,317.0000
 2014-05-04 163023, 6,                 0.05,                 0.75,                    0,                    5,200.00,6.00,12.00,0.7292,0.0000,411.0000
 2014-05-04 163039, 6,                 0.05,                 0.75,                    0,                    5,200.00,6.00,30.00,0.6985,0.0104,368.0000
 2014-05-04 163055, 6,                 0.05,                 0.75,                    0,                    5,200.00,5.00,36.00,0.6376,0.0000,310.0000
 2014-05-04 163111, 6,                 0.05,                 0.75,                    0,                    5,200.00,5.00,26.00,0.7034,0.0000,333.0000
 2014-05-04 163126, 6,                 0.05,                 0.75,                    0,                    5,200.00,4.00,29.00,0.6502,0.0312,250.0000
 2014-05-04 163142, 6,                 0.05,                 0.75,                    0,                    5,200.00,5.00,35.00,0.6581,0.0000,300.0000
 2014-05-04 163157, 6,                 0.05,                 0.75,                    0,                    5,200.00,3.00,10.00,0.7246,0.0000,196.0000
 2014-05-04 163213, 6,                 0.05,                 0.75,                    0,                    5,200.00,4.00,18.00,0.7020,0.1562,252.0000
 2014-05-04 163229, 6,                 0.05,                 0.75,                    0,                    5,200.00,6.00,34.00,0.6782,0.0000,394.0000
 2014-05-04 163245, 6,                 0.05,                 0.75,                    0,                    5,200.00,4.00,30.00,0.6855,0.0156,275.0000
 2014-05-04 163301, 6,                 0.05,                 0.75,                    0,                    5,200.00,5.00,23.00,0.7104,0.0500,331.0000
 2014-05-04 163317, 6,                 0.05,                 0.75,                    0,                    5,200.00,3.00,39.00,0.6657,0.0000,170.0000
 2014-05-04 163332, 6,                 0.05,                 0.75,                    0,                    5,200.00,5.00,42.00,0.6259,0.1125,280.0000
 2014-05-04 163347, 6,                 0.05,                 0.75,                    0,                    5,200.00,2.00,35.00,0.6532,0.1250,118.0000
averages: ,                 0.05,                 0.75,                    0,                    5,200.00,4.67,28.10,0.6756,0.0307,297.3000
