Timestamp: 2014-05-02 165153
Unaffiliated fraction: 0
Green fraction: 0.50
Ideology issues: 5

main issue,congress init dis,cosponsors,cosp init dis,cosp fin dis,com size,com init dis,com fin dis,# issues,congress final dis,votes
41,-0.5463,26,-0.5000,-0.5886,4,-0.5420,-0.6621,24,-0.5620,25
28,-0.5456,13,-0.6058,-0.6544,19,-0.6551,-0.6795,8,-0.5178,32
21,-0.5231,7,-0.6071,-0.7095,3,-0.6697,-0.7817,10,-0.5707,40
13,-0.5381,7,-0.5357,-0.6899,4,-0.4427,-0.5912,23,-0.5508,28
38,-0.5594,12,-0.4479,-0.6126,3,-0.6137,-0.6532,13,-0.5059,17
8,-0.5075,9,-0.5694,-0.6916,7,-0.5169,-0.6116,11,-0.5370,17
42,-0.5575,8,-0.5078,-0.6689,6,-0.5812,-0.5959,9,-0.5593,32
44,-0.5681,9,-0.5347,-0.7367,4,-0.4660,-0.6717,24,-0.5720,33
14,-0.5188,10,-0.7875,-0.7875,11,-0.2159,-0.6146,9,-0.5384,31
13,-0.5381,18,-0.5799,-0.7003,4,-0.5106,-0.6103,18,-0.5513,28
41,-0.5262,11,-0.7159,-0.7408,4,-0.4599,-0.6550,18,-0.5262,18
31,-0.5444,7,-0.5268,-0.6756,4,-0.5044,-0.5715,17,-0.5547,32
32,-0.5519,18,-0.6528,-0.6648,11,-0.8687,-0.8798,3,-0.5861,48
16,-0.5556,10,-0.5437,-0.6569,4,-0.5678,-0.6240,16,-0.5631,29
31,-0.5294,6,-0.5312,-0.6248,4,-0.5915,-0.7106,9,-0.5464,29
7,-0.5944,14,-0.6161,-0.6519,4,-0.4908,-0.5775,18,-0.5242,21
1,-0.5363,14,-0.4866,-0.6275,4,-0.5584,-0.6347,16,-0.5646,37
42,-0.5750,15,-0.5917,-0.6360,6,-0.6874,-0.6967,3,-0.5221,33
40,-0.5281,15,-0.6125,-0.6997,1,-0.7406,-0.8364,15,-0.5289,19
43,-0.5275,14,-0.5089,-0.6148,2,-0.5245,-0.6462,17,-0.5681,32
18,-0.5325,7,-0.7411,-0.7534,4,-0.5865,-0.6719,6,-0.5465,40
3,-0.5456,14,-0.4375,-0.6077,1,-0.5018,-0.7474,16,-0.5036,17
1,-0.5262,6,-0.6354,-0.8843,4,-0.6295,-0.6606,6,-0.5870,45
27,-0.5763,9,-0.6319,-0.6800,6,-0.5036,-0.6045,18,-0.5125,17
47,-0.5244,8,-0.3672,-0.6491,6,-0.5649,-0.6220,14,-0.5565,29
6,-0.5081,9,-0.6111,-0.7311,3,-0.5404,-0.7293,13,-0.5698,40
27,-0.5663,13,-0.5865,-0.6115,6,-0.4971,-0.5888,18,-0.5037,12
34,-0.5294,7,-0.7143,-0.7215,2,-0.4944,-0.6851,13,-0.5490,27
16,-0.4906,15,-0.5125,-0.6281,4,-0.5575,-0.6861,22,-0.5464,28
34,-0.5331,12,-0.5573,-0.6965,2,-0.5379,-0.6376,13,-0.5290,20
44,-0.5681,7,-0.6607,-0.7651,4,-0.5042,-0.7027,18,-0.5853,42
16,-0.5069,31,-0.6391,-0.6856,4,-0.5225,-0.6014,7,-0.6023,51
47,-0.5331,7,-0.5446,-0.6444,6,-0.6097,-0.6451,9,-0.5469,24
47,-0.5369,10,-0.5375,-0.6942,6,-0.5122,-0.6316,12,-0.5493,34
15,-0.5094,10,-0.3688,-0.5796,3,-0.5804,-0.6566,15,-0.5231,13
19,-0.5381,13,-0.5817,-0.6828,3,-0.5693,-0.6624,10,-0.5414,30
